Date,Open,High,Low,Close,Volume
5-May-17,6575.00,6625.00,6550.00,6575.00,16973800
4-May-17,6400.00,6625.00,6400.00,6625.00,26603500
3-May-17,6450.00,6450.00,6375.00,6400.00,11409500
2-May-17,6425.00,6450.00,6375.00,6425.00,12652000
28-Apr-17,6325.00,6400.00,6325.00,6375.00,14942800
27-Apr-17,6375.00,6425.00,6350.00,6375.00,15243800
26-Apr-17,6250.00,6450.00,6250.00,6400.00,44321900
25-Apr-17,6150.00,6250.00,6125.00,6200.00,57465800
21-Apr-17,6250.00,6275.00,6075.00,6150.00,54127600
20-Apr-17,6250.00,6250.00,6125.00,6250.00,49500500
18-Apr-17,6300.00,6375.00,6275.00,6350.00,22210600
17-Apr-17,6275.00,6300.00,6175.00,6250.00,17905100
13-Apr-17,6400.00,6425.00,6250.00,6275.00,53994800
12-Apr-17,6400.00,6425.00,6300.00,6375.00,24854600
11-Apr-17,6450.00,6450.00,6325.00,6375.00,21857100
10-Apr-17,6475.00,6575.00,6425.00,6450.00,27834000
7-Apr-17,6600.00,6625.00,6450.00,6475.00,34832000
6-Apr-17,6575.00,6700.00,6525.00,6700.00,21145100
5-Apr-17,6575.00,6600.00,6525.00,6575.00,17152700
4-Apr-17,6500.00,6600.00,6450.00,6550.00,14386900
3-Apr-17,6400.00,6500.00,6400.00,6450.00,18756700
31-Mar-17,6400.00,6475.00,6375.00,6475.00,49095300
30-Mar-17,6625.00,6625.00,6350.00,6375.00,47605300
29-Mar-17,6525.00,6750.00,6525.00,6600.00,35464300
27-Mar-17,6775.00,6775.00,6475.00,6525.00,34912500
24-Mar-17,6750.00,6825.00,6700.00,6800.00,20218800
23-Mar-17,6675.00,6950.00,6650.00,6900.00,54959200
22-Mar-17,6550.00,6600.00,6425.00,6600.00,47213100
21-Mar-17,6600.00,6625.00,6450.00,6575.00,29084400
20-Mar-17,6600.00,6775.00,6550.00,6600.00,21970100
17-Mar-17,6650.00,6700.00,6575.00,6700.00,38822100
16-Mar-17,6450.00,6600.00,6400.00,6600.00,43970400
15-Mar-17,6300.00,6425.00,6300.00,6400.00,20860600
14-Mar-17,6400.00,6425.00,6325.00,6375.00,8184600
13-Mar-17,6450.00,6450.00,6300.00,6350.00,20437500
10-Mar-17,6400.00,6425.00,6300.00,6300.00,12561300
9-Mar-17,6350.00,6400.00,6275.00,6400.00,11001500
8-Mar-17,6300.00,6300.00,6250.00,6275.00,13125000
7-Mar-17,6350.00,6350.00,6250.00,6300.00,18345200
6-Mar-17,6350.00,6350.00,6275.00,6300.00,14296900
3-Mar-17,6300.00,6350.00,6250.00,6350.00,25249300
2-Mar-17,6275.00,6350.00,6225.00,6225.00,20188500
1-Mar-17,6150.00,6250.00,6150.00,6225.00,21821200
28-Feb-17,6200.00,6275.00,6175.00,6250.00,18740500
27-Feb-17,6350.00,6350.00,6125.00,6175.00,31160000
24-Feb-17,6350.00,6375.00,6275.00,6350.00,18719900
23-Feb-17,6250.00,6325.00,6225.00,6325.00,13056500
22-Feb-17,6275.00,6300.00,6200.00,6275.00,20585400
21-Feb-17,6300.00,6300.00,6200.00,6275.00,19925800
20-Feb-17,6250.00,6300.00,6200.00,6275.00,16148400
17-Feb-17,6300.00,6300.00,6200.00,6300.00,17059500
16-Feb-17,6250.00,6275.00,6125.00,6200.00,44174500
14-Feb-17,6300.00,6325.00,6175.00,6300.00,23095800
13-Feb-17,6300.00,6300.00,6250.00,6300.00,28817100
10-Feb-17,6250.00,6275.00,6200.00,6250.00,44432300
9-Feb-17,6175.00,6250.00,6150.00,6200.00,65360400
8-Feb-17,6125.00,6175.00,6075.00,6125.00,52191800
7-Feb-17,6025.00,6100.00,6025.00,6100.00,25390100
6-Feb-17,6050.00,6150.00,6000.00,6025.00,24965300
3-Feb-17,6000.00,6025.00,5950.00,5975.00,18206800
2-Feb-17,5975.00,6075.00,5950.00,6025.00,43318100
1-Feb-17,5700.00,5950.00,5675.00,5950.00,69953000
31-Jan-17,5700.00,5725.00,5625.00,5700.00,19780300
30-Jan-17,5775.00,5800.00,5700.00,5725.00,28483800
27-Jan-17,5600.00,5800.00,5575.00,5750.00,60702700
26-Jan-17,5550.00,5625.00,5525.00,5600.00,32743100
25-Jan-17,5600.00,5600.00,5500.00,5500.00,25846700
24-Jan-17,5550.00,5575.00,5500.00,5550.00,10048300
23-Jan-17,5500.00,5575.00,5450.00,5525.00,17986900
20-Jan-17,5475.00,5525.00,5450.00,5450.00,11497300
19-Jan-17,5575.00,5600.00,5450.00,5450.00,12431800
18-Jan-17,5575.00,5575.00,5525.00,5575.00,20682700
17-Jan-17,5475.00,5550.00,5475.00,5525.00,18352200
16-Jan-17,5525.00,5625.00,5475.00,5475.00,17422600
13-Jan-17,5550.00,5600.00,5400.00,5475.00,10899900
12-Jan-17,5625.00,5625.00,5550.00,5550.00,5229800
11-Jan-17,5625.00,5625.00,5575.00,5600.00,12116600
10-Jan-17,5625.00,5625.00,5550.00,5600.00,9258400
9-Jan-17,5650.00,5675.00,5550.00,5550.00,5590700
6-Jan-17,5600.00,5675.00,5575.00,5600.00,11663500
5-Jan-17,5650.00,5650.00,5550.00,5625.00,10540900
4-Jan-17,5500.00,5600.00,5475.00,5600.00,21406600
3-Jan-17,5525.00,5525.00,5450.00,5475.00,6710500
30-Dec-16,5500.00,5650.00,5450.00,5525.00,28427800
29-Dec-16,5375.00,5525.00,5375.00,5475.00,19411800
28-Dec-16,5250.00,5450.00,5250.00,5375.00,13783500
27-Dec-16,5200.00,5300.00,5200.00,5250.00,3934200
23-Dec-16,5275.00,5400.00,5225.00,5250.00,9146700
22-Dec-16,5425.00,5450.00,5275.00,5300.00,8044200
21-Dec-16,5450.00,5475.00,5350.00,5350.00,16047500
20-Dec-16,5500.00,5500.00,5350.00,5400.00,8613200
19-Dec-16,5425.00,5500.00,5375.00,5425.00,16237100
16-Dec-16,5500.00,5500.00,5350.00,5350.00,20732700
15-Dec-16,5400.00,5475.00,5350.00,5400.00,12414000
14-Dec-16,5550.00,5550.00,5450.00,5475.00,10630900
13-Dec-16,5400.00,5525.00,5400.00,5475.00,21177400
9-Dec-16,5500.00,5525.00,5400.00,5475.00,5435500
