Date,Open,High,Low,Close,Volume
5-May-17,14000,14000,13725,13925,16452600
4-May-17,13275,13925,13275,13925,40236600
3-May-17,13125,13275,13075,13200,30575500
2-May-17,13125,13125,13000,13050,26631300
28-Apr-17,13150,13150,12900,12900,10117100
27-Apr-17,13150,13200,12925,13000,13633900
26-Apr-17,13150,13225,13075,13225,31656200
25-Apr-17,13000,13150,13000,13125,38149400
21-Apr-17,12750,12975,12750,12925,17042000
20-Apr-17,13000,13000,12725,12750,22887400
18-Apr-17,12625,12950,12600,12875,12636900
17-Apr-17,12750,12750,12425,12425,8948800
13-Apr-17,13025,13075,12700,12700,11428700
12-Apr-17,12900,12950,12775,12775,7560200
11-Apr-17,13100,13100,12825,12900,7921200
10-Apr-17,13100,13250,12925,13100,20463300
7-Apr-17,13175,13225,13025,13050,28184400
6-Apr-17,13000,13200,12925,13175,12586200
5-Apr-17,13025,13075,12950,13000,16684300
4-Apr-17,12800,13125,12800,13025,11637000
3-Apr-17,12975,13150,12950,13025,24085200
31-Mar-17,12850,13050,12850,12975,14813000
30-Mar-17,12575,12950,12575,12950,17703400
29-Mar-17,12900,12975,12800,12825,27752000
27-Mar-17,13150,13150,12700,12775,14397600
24-Mar-17,13125,13175,13075,13150,9877800
23-Mar-17,13000,13175,12900,13150,23232800
22-Mar-17,12950,13200,12800,13200,47539600
21-Mar-17,13000,13100,12950,13000,21430200
20-Mar-17,13100,13250,12900,13000,21753500
17-Mar-17,12700,13000,12700,13000,74282300
16-Mar-17,12300,12550,12300,12525,54012600
15-Mar-17,12050,12225,12050,12150,24287500
14-Mar-17,12000,12125,12000,12050,10819900
13-Mar-17,12150,12150,12025,12075,19592700
10-Mar-17,12150,12150,12025,12075,15215200
9-Mar-17,12050,12150,12025,12075,14562700
8-Mar-17,12050,12125,12000,12000,16251900
7-Mar-17,12000,12000,11925,12000,18823700
6-Mar-17,11900,11950,11875,11950,9876400
3-Mar-17,11900,11975,11850,11850,8571900
2-Mar-17,11975,12000,11850,11850,15819200
1-Mar-17,11850,11950,11850,11950,10704100
28-Feb-17,11925,12025,11900,11950,27097600
27-Feb-17,12000,12000,11875,11875,10578700
24-Feb-17,11875,12000,11850,11950,15234100
23-Feb-17,11925,12000,11925,11925,11887400
22-Feb-17,12000,12000,11900,12000,18832200
21-Feb-17,11850,12000,11825,11900,15685200
20-Feb-17,11800,11850,11650,11750,15106000
17-Feb-17,11850,11925,11700,11700,17839900
16-Feb-17,12000,12000,11775,12000,23412200
14-Feb-17,12000,12075,11900,12000,12569800
13-Feb-17,12075,12125,12000,12075,17517300
10-Feb-17,11975,12050,11975,12025,17366100
9-Feb-17,11975,12025,11925,11975,23236400
8-Feb-17,11975,12000,11825,11950,26731400
7-Feb-17,12050,12075,12000,12025,15542400
6-Feb-17,12075,12125,12000,12050,45633200
3-Feb-17,12000,12050,11975,12000,24575400
2-Feb-17,12000,12025,11925,11975,23482700
1-Feb-17,11800,11975,11775,11950,32443300
31-Jan-17,11750,11825,11700,11725,13676600
30-Jan-17,11825,11850,11750,11750,11857700
27-Jan-17,11700,11750,11675,11725,9837500
26-Jan-17,11775,11825,11725,11750,17099700
25-Jan-17,11800,11875,11700,11700,22868100
24-Jan-17,11825,11900,11800,11825,12019100
23-Jan-17,11750,11900,11750,11800,9343600
20-Jan-17,11975,11975,11800,11800,7300500
19-Jan-17,11950,12000,11925,12000,16740700
18-Jan-17,11900,11975,11850,11950,12772200
17-Jan-17,11875,11975,11875,11925,7867400
16-Jan-17,12000,12000,11900,11900,18457100
13-Jan-17,11950,12000,11875,11950,20088000
12-Jan-17,11900,11925,11875,11875,13239300
11-Jan-17,11750,11925,11750,11800,13661800
10-Jan-17,11850,11950,11775,11800,12558900
9-Jan-17,12000,12150,11750,11750,14365500
6-Jan-17,12100,12150,11975,12100,14648200
5-Jan-17,12300,12325,12025,12100,29071400
4-Jan-17,11900,12200,11750,12200,15978200
3-Jan-17,11750,11900,11575,11900,13516100
30-Dec-16,11725,11875,11625,11675,38741600
29-Dec-16,11475,11725,11425,11650,26675900
28-Dec-16,11100,11450,11100,11375,16181900
27-Dec-16,10850,11075,10825,11000,10269200
23-Dec-16,10850,11025,10775,10875,20123400
22-Dec-16,11025,11075,10850,10875,26147900
21-Dec-16,11425,11450,11000,11000,18975800
20-Dec-16,11250,11300,11150,11225,15160700
19-Dec-16,11275,11375,11250,11250,14240000
16-Dec-16,11400,11400,11225,11275,35122700
15-Dec-16,11150,11475,11000,11400,19726800
14-Dec-16,11725,11750,11475,11500,20765000
13-Dec-16,11450,11725,11400,11725,18685700
9-Dec-16,11475,11500,11400,11475,16800100
8-Dec-16,11375,11500,11300,11500,14636200
7-Dec-16,11350,11425,11275,11425,10128500
6-Dec-16,11150,11400,11100,11325,20032300
5-Dec-16,11200,11325,11125,11125,17881000
2-Dec-16,11050,11375,11000,11300,22200400
1-Dec-16,10900,11100,10875,11050,25200400
30-Nov-16,10675,10975,10650,10900,56825100
29-Nov-16,10425,10675,10425,10550,34022800
28-Nov-16,10750,10850,10425,10475,58410400
25-Nov-16,11050,11175,10875,10925,38602700
24-Nov-16,11350,11450,11225,11300,22662100
23-Nov-16,11475,11550,11400,11500,17563800
22-Nov-16,11350,11500,11350,11475,20426300
21-Nov-16,11425,11475,11350,11450,14679300
18-Nov-16,11600,11600,11425,11500,19311300
17-Nov-16,11500,11600,11375,11500,19257400
16-Nov-16,11200,11550,11200,11500,36341900
15-Nov-16,11200,11400,11025,11025,44720900
14-Nov-16,11700,11725,11125,11125,76031700
11-Nov-16,12400,12400,11925,11975,59533900
10-Nov-16,12750,12825,12650,12700,17575600
9-Nov-16,12875,12975,12450,12600,28044100
8-Nov-16,12500,12975,12500,12875,25765700
7-Nov-16,12400,12525,12300,12450,19564300
4-Nov-16,12200,12400,12150,12400,9572800
3-Nov-16,12400,12400,12250,12325,14408700
2-Nov-16,12225,12450,12175,12400,19590800
1-Nov-16,12250,12300,12200,12225,14152800
31-Oct-16,12300,12300,12075,12200,19327200
28-Oct-16,12000,12250,12000,12200,13441300
27-Oct-16,12075,12200,12025,12200,14136200
26-Oct-16,12000,12225,12000,12075,22725500
25-Oct-16,12300,12300,12150,12150,11090600
24-Oct-16,12225,12275,12150,12200,10070300
21-Oct-16,12175,12225,12125,12225,8841700
20-Oct-16,12075,12200,12075,12125,12196100
19-Oct-16,12275,12275,12100,12150,7490800
18-Oct-16,12275,12275,12150,12200,13763200
17-Oct-16,12150,12275,12150,12150,20157200
14-Oct-16,11900,12325,11850,12225,17618400
13-Oct-16,12050,12150,11850,11975,17981400
12-Oct-16,11925,12125,11825,12000,12757900
11-Oct-16,11900,12000,11900,11950,31740800
10-Oct-16,11900,12025,11825,11850,12134100
7-Oct-16,12400,12400,11950,11975,25879400
6-Oct-16,12300,12400,12275,12400,20926500
5-Oct-16,12325,12325,12225,12300,27455200
4-Oct-16,12275,12325,12150,12275,13652700
3-Oct-16,12200,12325,12200,12275,27899600
30-Sep-16,12100,12250,12075,12200,22375700
29-Sep-16,12200,12250,12125,12225,25947500
28-Sep-16,12100,12175,12050,12100,41531900
27-Sep-16,11875,12150,11775,12100,24057900
26-Sep-16,12050,12125,12025,12025,14435900
23-Sep-16,12000,12125,11975,12075,22258800
22-Sep-16,12100,12200,12050,12075,26920900
21-Sep-16,11950,12050,11900,12000,31118300
20-Sep-16,12000,12025,11925,12000,24630700
19-Sep-16,12000,12075,11850,11850,13655200
16-Sep-16,12000,12050,11900,11925,27597900
15-Sep-16,11700,12050,11675,11975,28220400
14-Sep-16,11575,11725,11500,11700,18295600
13-Sep-16,11675,11775,11600,11675,21751100
9-Sep-16,11950,11975,11725,11750,19917900
8-Sep-16,11900,12000,11900,11975,11732100
7-Sep-16,11925,11975,11825,11975,23487600
6-Sep-16,11850,11875,11750,11875,14568900
5-Sep-16,11800,11825,11725,11800,25040800
2-Sep-16,11500,11700,11500,11625,22321400
1-Sep-16,11550,11725,11525,11700,21216600
31-Aug-16,11650,11775,11625,11650,31006400
30-Aug-16,11600,11625,11475,11525,25371800
29-Aug-16,11600,11625,11475,11500,29211800
26-Aug-16,11750,11825,11675,11750,18471800
25-Aug-16,11750,11900,11725,11850,25570700
24-Aug-16,11625,11775,11525,11650,17897600
23-Aug-16,11600,11700,11500,11550,37240300
22-Aug-16,11950,11950,11725,11850,27465600
19-Aug-16,12000,12125,11900,12000,26257200
18-Aug-16,12150,12175,12050,12100,45956600
16-Aug-16,12150,12175,12050,12100,35836700
15-Aug-16,12000,12125,11925,12000,18540100
12-Aug-16,11750,12150,11750,11950,27050900
11-Aug-16,12100,12100,11850,11900,22711000
10-Aug-16,12050,12175,11775,12000,18657400
9-Aug-16,12150,12225,11975,12000,28101700
8-Aug-16,12100,12250,12050,12150,41424700
5-Aug-16,11875,12025,11850,11975,51326300
4-Aug-16,11850,11875,11725,11800,33869800
3-Aug-16,11800,11800,11550,11650,14112000
2-Aug-16,11725,11825,11700,11750,24408800
1-Aug-16,11600,11775,11575,11725,59058800
29-Jul-16,11450,11650,11450,11525,46580300
28-Jul-16,11400,11500,11275,11400,24140800
27-Jul-16,11600,11750,11550,11600,55359000
26-Jul-16,11300,11550,11250,11550,12569900
25-Jul-16,11350,11450,11175,11350,16277400
22-Jul-16,11425,11475,11250,11425,19538100
21-Jul-16,11775,11875,11500,11500,21088500
20-Jul-16,11800,12000,11800,11875,27737400
19-Jul-16,11325,11850,11325,11800,50028400
18-Jul-16,11300,11600,11300,11475,21720800
15-Jul-16,11450,11525,11450,11500,16148700
14-Jul-16,11600,11600,11325,11375,21399500
13-Jul-16,11500,11550,11400,11550,21606800
12-Jul-16,11500,11600,11425,11500,31827000
11-Jul-16,10950,11400,10900,11350,67449000
1-Jul-16,10900,10950,10700,10750,20531700
30-Jun-16,10800,10925,10725,10800,51831600
29-Jun-16,10425,10675,10425,10675,37635400
28-Jun-16,10150,10400,10125,10375,30635400
27-Jun-16,10050,10275,10050,10225,7109500
24-Jun-16,10300,10425,10000,10300,22675700
23-Jun-16,10500,10500,10300,10425,9510700
22-Jun-16,10400,10500,10350,10500,13161800
21-Jun-16,10300,10400,10275,10400,18990000
20-Jun-16,10400,10425,10175,10325,14816600
17-Jun-16,10250,10300,10000,10250,22676300
16-Jun-16,10175,10225,10125,10200,29429800
15-Jun-16,9900,10125,9900,10050,17553000
14-Jun-16,10050,10125,9925,9975,20075600
13-Jun-16,10325,10325,10075,10100,19337300
10-Jun-16,10350,10450,10325,10325,11476800
9-Jun-16,10650,10650,10375,10375,14185500
8-Jun-16,10600,10650,10525,10650,22585100
7-Jun-16,10625,10675,10575,10650,23375200
6-Jun-16,10450,10600,10375,10600,19534700
3-Jun-16,10325,10450,10250,10400,12347500
2-Jun-16,10350,10400,10200,10275,17682900
1-Jun-16,10350,10500,10325,10450,24240300
31-May-16,10625,10625,10325,10350,37929400
30-May-16,10450,10675,10400,10625,43144900
27-May-16,10250,10400,10175,10400,19817600
26-May-16,10000,10300,9975,10300,32858400
25-May-16,9925,9950,9875,9925,14242300
24-May-16,9950,10025,9825,9825,19371000
23-May-16,9800,9925,9800,9925,13752000
20-May-16,9600,9850,9600,9800,33291700
19-May-16,9575,9700,9550,9675,33133000
18-May-16,9600,9750,9525,9525,43366500
17-May-16,9900,9950,9650,9700,20313700
16-May-16,9850,9950,9800,9950,16527500
13-May-16,9900,9950,9750,9875,25595400
12-May-16,9975,10050,9850,9900,28788800
11-May-16,10100,10125,9975,10000,31884700
10-May-16,10000,10125,9975,10050,24356400
9-May-16,10350,10375,10025,10025,30959300
4-May-16,10500,10525,10200,10350,22988800
3-May-16,10400,10550,10300,10525,29254400
2-May-16,10450,10450,10175,10275,12043700
29-Apr-16,10325,10375,10250,10350,15680600
28-Apr-16,10300,10475,10225,10375,31136400
27-Apr-16,10150,10325,10125,10200,28365700
26-Apr-16,10450,10450,10050,10200,33759000
25-Apr-16,10850,10875,10400,10500,53850100
22-Apr-16,10675,10925,10650,10900,40285500
21-Apr-16,10525,10725,10500,10700,41401200
20-Apr-16,10300,10500,10175,10475,47855800
19-Apr-16,10325,10350,10000,10150,29699700
18-Apr-16,10000,10300,9850,10200,42164600
15-Apr-16,10200,10200,9800,10050,63681700
14-Apr-16,10625,10625,10200,10225,73810900
13-Apr-16,10700,10750,10500,10600,21498400
12-Apr-16,10500,10700,10400,10625,24302800
11-Apr-16,10800,10875,10450,10475,28162200
8-Apr-16,11000,11075,10775,10800,35800400
7-Apr-16,11125,11175,11000,11100,19468000
6-Apr-16,11150,11175,11100,11150,16815000
5-Apr-16,11100,11175,11050,11100,15940200
4-Apr-16,11000,11125,11000,11100,11959700
1-Apr-16,11300,11300,11000,11100,24352600
31-Mar-16,11050,11425,11050,11425,31797600
30-Mar-16,10975,11200,10975,11150,29634000
29-Mar-16,11100,11125,10925,10975,19004900
28-Mar-16,11300,11300,11050,11100,9919900
24-Mar-16,11325,11325,11250,11275,20476100
23-Mar-16,11175,11275,11150,11275,25585100
22-Mar-16,11175,11200,11100,11175,27541200
21-Mar-16,11100,11250,11075,11150,23809000
18-Mar-16,11100,11200,11050,11125,47118000
17-Mar-16,11100,11175,11000,11000,29495600
16-Mar-16,11000,11075,10925,11050,24008200
15-Mar-16,11125,11175,11025,11075,21636800
14-Mar-16,11250,11250,11150,11175,18841600
11-Mar-16,10900,11150,10850,11125,30581400
10-Mar-16,11250,11250,10925,11000,47776300
8-Mar-16,11450,11500,11150,11325,27630600
7-Mar-16,11500,11500,11375,11400,20180200
4-Mar-16,11175,11375,11075,11375,19247200
3-Mar-16,11150,11200,10925,11150,26535200
2-Mar-16,10900,11075,10900,10975,32279100
1-Mar-16,11000,11100,10650,10700,29626300
29-Feb-16,10850,11075,10825,11075,37155300
26-Feb-16,10525,10850,10500,10850,39547500
25-Feb-16,10700,10725,10425,10450,35460700
24-Feb-16,10600,10775,10525,10675,51762600
23-Feb-16,11000,11025,10525,10600,54608200
22-Feb-16,11450,11450,10950,10975,51743400
19-Feb-16,11350,11625,11250,11450,66613600
18-Feb-16,12000,12050,11875,12000,24567200
17-Feb-16,11925,11950,11850,11950,15390200
16-Feb-16,11875,11975,11875,11925,15191400
15-Feb-16,11900,11950,11800,11875,19602200
12-Feb-16,11850,12000,11725,11800,28761200
11-Feb-16,11725,11975,11725,11875,31627500
10-Feb-16,11825,12000,11750,11775,18511600
9-Feb-16,12100,12100,11800,11975,24723300
5-Feb-16,11625,12300,11600,12300,93187000
4-Feb-16,11050,11400,11050,11400,30129900
3-Feb-16,11000,11025,10875,10925,30849600
2-Feb-16,11100,11200,11025,11025,12064700
1-Feb-16,11350,11350,11125,11225,16706700
29-Jan-16,11250,11350,11025,11225,46598700
28-Jan-16,11275,11350,11225,11250,17794300
27-Jan-16,11400,11450,11300,11375,16194000
26-Jan-16,11400,11400,11200,11300,13178400
25-Jan-16,11400,11425,11275,11425,18415700
