Date,Open,High,Low,Close,Volume
5-May-17,11750.00,12125.00,11750.00,11975.00,36712100
4-May-17,11625.00,11825.00,11625.00,11700.00,33517500
3-May-17,11650.00,11650.00,11500.00,11575.00,24954700
2-May-17,11700.00,11725.00,11675.00,11675.00,20763600
28-Apr-17,11675.00,11750.00,11650.00,11700.00,20936900
27-Apr-17,11700.00,11850.00,11700.00,11725.00,26595500
26-Apr-17,11700.00,12275.00,11700.00,11825.00,79962600
25-Apr-17,11575.00,11700.00,11475.00,11550.00,37302000
21-Apr-17,11575.00,11675.00,11400.00,11400.00,9582400
20-Apr-17,11700.00,11750.00,11450.00,11525.00,20369600
18-Apr-17,11700.00,11850.00,11625.00,11750.00,22342000
17-Apr-17,11700.00,11700.00,11525.00,11625.00,4788300
13-Apr-17,11800.00,11850.00,11500.00,11650.00,14048600
12-Apr-17,11675.00,11800.00,11675.00,11700.00,8140400
11-Apr-17,12000.00,12000.00,11700.00,11750.00,10778300
10-Apr-17,12225.00,12275.00,11950.00,12050.00,9159200
7-Apr-17,12300.00,12425.00,12200.00,12200.00,19958900
6-Apr-17,11900.00,12425.00,11825.00,12425.00,21853900
5-Apr-17,11850.00,11900.00,11725.00,11900.00,13757900
4-Apr-17,11650.00,11950.00,11650.00,11750.00,19352200
3-Apr-17,11800.00,11850.00,11600.00,11750.00,14741100
31-Mar-17,11750.00,11775.00,11700.00,11700.00,15996400
30-Mar-17,11775.00,11850.00,11625.00,11775.00,8040400
29-Mar-17,11900.00,11900.00,11675.00,11775.00,13914500
27-Mar-17,11800.00,11850.00,11700.00,11700.00,10844200
24-Mar-17,11975.00,11975.00,11750.00,11900.00,25405600
23-Mar-17,11850.00,12025.00,11850.00,11900.00,41237900
22-Mar-17,11550.00,11825.00,11475.00,11775.00,34466600
21-Mar-17,11850.00,11900.00,11750.00,11800.00,24662800
20-Mar-17,11725.00,11900.00,11625.00,11775.00,21029500
17-Mar-17,11650.00,11700.00,11550.00,11625.00,28952800
16-Mar-17,11575.00,11650.00,11525.00,11575.00,31034200
15-Mar-17,11500.00,11575.00,11375.00,11450.00,9695900
14-Mar-17,11300.00,11450.00,11300.00,11425.00,8104200
13-Mar-17,11200.00,11400.00,11200.00,11400.00,11478600
10-Mar-17,11400.00,11400.00,11325.00,11400.00,5686200
9-Mar-17,11250.00,11375.00,11250.00,11375.00,3574600
8-Mar-17,11375.00,11400.00,11325.00,11325.00,8342800
7-Mar-17,11200.00,11350.00,11200.00,11325.00,21705800
6-Mar-17,11350.00,11375.00,11225.00,11300.00,10644600
3-Mar-17,11250.00,11375.00,11200.00,11350.00,7332900
2-Mar-17,11375.00,11450.00,11325.00,11325.00,14370700
1-Mar-17,11400.00,11400.00,11225.00,11350.00,22789100
28-Feb-17,11300.00,11400.00,11200.00,11300.00,10861100
27-Feb-17,11175.00,11225.00,11175.00,11175.00,7599400
24-Feb-17,11275.00,11275.00,11100.00,11100.00,14789500
23-Feb-17,11150.00,11275.00,11150.00,11150.00,10963200
22-Feb-17,11250.00,11300.00,11100.00,11300.00,26559300
21-Feb-17,11300.00,11300.00,11100.00,11150.00,12502100
20-Feb-17,11200.00,11275.00,11100.00,11275.00,18047500
17-Feb-17,11200.00,11200.00,11000.00,11075.00,25806000
16-Feb-17,11300.00,11350.00,10900.00,11200.00,51944500
14-Feb-17,11450.00,11475.00,11350.00,11425.00,19936300
13-Feb-17,11575.00,11600.00,11425.00,11450.00,20349300
10-Feb-17,11600.00,11600.00,11350.00,11400.00,24135100
9-Feb-17,11400.00,11575.00,11400.00,11475.00,24461000
8-Feb-17,11350.00,11350.00,11175.00,11225.00,27413800
7-Feb-17,11375.00,11450.00,11325.00,11400.00,29429700
6-Feb-17,11150.00,11400.00,11150.00,11375.00,49503600
3-Feb-17,11075.00,11100.00,11000.00,11075.00,27829000
2-Feb-17,10975.00,11050.00,10950.00,11000.00,19902500
1-Feb-17,10975.00,11025.00,10925.00,10975.00,29311400
31-Jan-17,10975.00,11025.00,10900.00,10900.00,9513900
30-Jan-17,11050.00,11075.00,10975.00,11025.00,8860100
27-Jan-17,10975.00,11025.00,10950.00,10975.00,6043700
26-Jan-17,10950.00,11025.00,10900.00,10900.00,12361500
25-Jan-17,11000.00,11050.00,10975.00,11000.00,19137500
24-Jan-17,11000.00,11050.00,10950.00,11000.00,20818600
23-Jan-17,10900.00,11050.00,10900.00,10975.00,4172700
20-Jan-17,11050.00,11075.00,10950.00,11000.00,10001800
19-Jan-17,11100.00,11175.00,11000.00,11050.00,18186000
18-Jan-17,11000.00,11125.00,10950.00,11050.00,23671800
17-Jan-17,10900.00,11025.00,10900.00,10925.00,15511300
16-Jan-17,11250.00,11250.00,10900.00,10925.00,19407300
13-Jan-17,11475.00,11475.00,11100.00,11100.00,14057200
12-Jan-17,11400.00,11475.00,11300.00,11300.00,7284000
11-Jan-17,11425.00,11600.00,11375.00,11375.00,17181800
10-Jan-17,11375.00,11400.00,11250.00,11400.00,6201200
9-Jan-17,11425.00,11425.00,11225.00,11275.00,9087300
6-Jan-17,11350.00,11425.00,11275.00,11375.00,13584400
5-Jan-17,11200.00,11325.00,11150.00,11250.00,16638600
4-Jan-17,11300.00,11350.00,11125.00,11350.00,10277600
3-Jan-17,11575.00,11575.00,11200.00,11300.00,12603000
30-Dec-16,11575.00,11725.00,11350.00,11575.00,34034900
29-Dec-16,11200.00,11575.00,11100.00,11575.00,19487800
28-Dec-16,10950.00,11150.00,10875.00,11150.00,11864400
27-Dec-16,10775.00,10850.00,10750.00,10800.00,9662700
23-Dec-16,10750.00,10950.00,10725.00,10775.00,13642500
22-Dec-16,10750.00,10825.00,10700.00,10750.00,24280700
21-Dec-16,10750.00,10825.00,10750.00,10750.00,11567200
20-Dec-16,10750.00,10875.00,10750.00,10800.00,8380400
19-Dec-16,10750.00,10900.00,10750.00,10825.00,5797200
16-Dec-16,10800.00,10850.00,10750.00,10750.00,17511200
15-Dec-16,10700.00,10850.00,10600.00,10800.00,13804600
14-Dec-16,10875.00,10975.00,10800.00,10875.00,10063100
13-Dec-16,10925.00,10925.00,10750.00,10825.00,13005800
9-Dec-16,10800.00,11000.00,10800.00,10975.00,16183700
8-Dec-16,10775.00,10950.00,10725.00,10950.00,15708900
7-Dec-16,10650.00,10700.00,10625.00,10700.00,10573300
6-Dec-16,10800.00,10825.00,10575.00,10650.00,23943500
5-Dec-16,10600.00,10725.00,10600.00,10650.00,10777800
2-Dec-16,10650.00,10775.00,10500.00,10700.00,18653200
1-Dec-16,10500.00,10700.00,10500.00,10500.00,28209100
30-Nov-16,10400.00,10625.00,10400.00,10500.00,39406600
29-Nov-16,10150.00,10400.00,10150.00,10325.00,20759300
28-Nov-16,10150.00,10175.00,10025.00,10150.00,27856500
25-Nov-16,10175.00,10275.00,10025.00,10150.00,28248700
24-Nov-16,10700.00,10725.00,10025.00,10100.00,57696000
23-Nov-16,10775.00,10925.00,10700.00,10900.00,17289300
22-Nov-16,10700.00,10925.00,10700.00,10925.00,17968500
21-Nov-16,10700.00,10800.00,10675.00,10700.00,20669200
18-Nov-16,10950.00,10950.00,10750.00,10925.00,10701300
17-Nov-16,10875.00,10900.00,10675.00,10900.00,13061200
16-Nov-16,10600.00,10950.00,10600.00,10825.00,12973200
15-Nov-16,10400.00,10675.00,10325.00,10550.00,21234100
14-Nov-16,10700.00,10750.00,10050.00,10325.00,48482500
11-Nov-16,11125.00,11175.00,10850.00,10850.00,50037800
10-Nov-16,11600.00,11625.00,11425.00,11425.00,13692600
9-Nov-16,11650.00,11900.00,11250.00,11350.00,28646400
8-Nov-16,11450.00,11650.00,11425.00,11575.00,20515800
7-Nov-16,11300.00,11400.00,11125.00,11375.00,17474700
4-Nov-16,11000.00,11275.00,10950.00,11100.00,14683100
3-Nov-16,11450.00,11500.00,11150.00,11150.00,22942200
2-Nov-16,11425.00,11550.00,11425.00,11500.00,18100400
1-Nov-16,11475.00,11625.00,11425.00,11425.00,18517800
31-Oct-16,11400.00,11650.00,11400.00,11475.00,33182700
28-Oct-16,11400.00,11425.00,11325.00,11375.00,10877700
27-Oct-16,11075.00,11375.00,11075.00,11325.00,17334100
26-Oct-16,11025.00,11200.00,10825.00,11075.00,35495300
25-Oct-16,11225.00,11300.00,11150.00,11175.00,18445600
24-Oct-16,11225.00,11375.00,11200.00,11200.00,15862700
21-Oct-16,11400.00,11400.00,11225.00,11225.00,12594700
20-Oct-16,11400.00,11425.00,11300.00,11300.00,13411100
19-Oct-16,11375.00,11450.00,11325.00,11375.00,12864200
18-Oct-16,11450.00,11500.00,11400.00,11400.00,14227400
17-Oct-16,11250.00,11450.00,11250.00,11375.00,16760500
14-Oct-16,11050.00,11375.00,11025.00,11350.00,23564200
13-Oct-16,11025.00,11125.00,10875.00,11050.00,18684300
12-Oct-16,10750.00,11025.00,10750.00,11000.00,14687000
11-Oct-16,10925.00,11000.00,10800.00,10850.00,22330700
10-Oct-16,10975.00,11050.00,10900.00,10900.00,14072600
7-Oct-16,10825.00,10950.00,10825.00,10900.00,14421800
6-Oct-16,11000.00,11075.00,10875.00,10950.00,25840900
5-Oct-16,11125.00,11175.00,10975.00,11000.00,36373600
4-Oct-16,11275.00,11300.00,11175.00,11200.00,21149500
3-Oct-16,11325.00,11350.00,11150.00,11275.00,18214100
30-Sep-16,11350.00,11375.00,11150.00,11200.00,33508500
29-Sep-16,11325.00,11450.00,11325.00,11425.00,38344700
28-Sep-16,11450.00,11500.00,11200.00,11300.00,62051100
27-Sep-16,11650.00,11750.00,11400.00,11750.00,33211600
26-Sep-16,11600.00,11675.00,11425.00,11650.00,13625500
23-Sep-16,11650.00,11700.00,11475.00,11500.00,20003700
22-Sep-16,11500.00,11650.00,11425.00,11650.00,21107300
21-Sep-16,11225.00,11500.00,11175.00,11375.00,16014300
20-Sep-16,11300.00,11400.00,11250.00,11400.00,11348400
19-Sep-16,11175.00,11300.00,11125.00,11225.00,9793700
16-Sep-16,11100.00,11250.00,11000.00,11075.00,29116200
15-Sep-16,10725.00,11200.00,10600.00,10975.00,21812300
14-Sep-16,10525.00,10800.00,10525.00,10600.00,17558000
13-Sep-16,10675.00,10825.00,10500.00,10675.00,20770000
9-Sep-16,11100.00,11200.00,10825.00,10850.00,24998500
8-Sep-16,11175.00,11250.00,11125.00,11200.00,6768200
7-Sep-16,11125.00,11275.00,11125.00,11275.00,15901800
6-Sep-16,11100.00,11200.00,11025.00,11175.00,13325100
5-Sep-16,11300.00,11325.00,11175.00,11175.00,10832000
2-Sep-16,10875.00,11200.00,10875.00,11175.00,10654100
1-Sep-16,11100.00,11225.00,11050.00,11075.00,12516400
31-Aug-16,11100.00,11350.00,11100.00,11225.00,22360600
30-Aug-16,11100.00,11275.00,11050.00,11275.00,20024700
29-Aug-16,11200.00,11250.00,11050.00,11175.00,27266300
26-Aug-16,11550.00,11550.00,11300.00,11400.00,9372900
25-Aug-16,11350.00,11525.00,11350.00,11400.00,19150500
24-Aug-16,11350.00,11525.00,11325.00,11350.00,18985700
23-Aug-16,11450.00,11550.00,11200.00,11300.00,26695000
22-Aug-16,11425.00,11475.00,11300.00,11400.00,24234100
19-Aug-16,11425.00,11625.00,11350.00,11450.00,29634400
18-Aug-16,11350.00,11450.00,11325.00,11425.00,30593800
16-Aug-16,11200.00,11350.00,11150.00,11325.00,25423500
15-Aug-16,11025.00,11200.00,10900.00,11175.00,16747000
12-Aug-16,11250.00,11350.00,10875.00,11075.00,55448100
11-Aug-16,11450.00,11500.00,11050.00,11175.00,24042500
10-Aug-16,11650.00,11675.00,11475.00,11550.00,17189700
9-Aug-16,11650.00,11950.00,11650.00,11800.00,33805000
8-Aug-16,11500.00,11675.00,11450.00,11650.00,41807600
5-Aug-16,10625.00,11400.00,10600.00,11400.00,67758500
4-Aug-16,10425.00,10600.00,10425.00,10550.00,34591200
3-Aug-16,10650.00,10650.00,10400.00,10425.00,16704300
2-Aug-16,10650.00,10775.00,10550.00,10650.00,62113600
1-Aug-16,10225.00,10650.00,10200.00,10550.00,64761400
